k=Klatovy
z=Železná Ruda-Alžbětín
d=Domažlice
dm=Domažlice město
v=Vejprnice
n=Nýřany


7407:X:dm;606,v;718
7416:X:v;1430,d;1525
7425:X:dm;1630,v;1731
7424:X:v;1830,dm;1928
100363pk:X:d;2001,n;2037
7432:X:v;2306,dm;2359
7409:25:dm;630,v;732
7408:=:v;830,dm;926
7415:=:dm;1030,v;1131
7412:=:v;1230,dm;1327
7421:=:dm;1430,v;1531
7420:=:v;1630,dm;1727
7429:=:d;1834,v;1931
7428:=:v;7428,dm;2127

11351sv::d;030,k;126
1960::k;646,z;752
7545::z;806,k;910
770::k;1251,z;1355
775::z;1608,k;1710

776::k;851,z;955
767::z;1206,k;1310
764::k;1651,z;1755
779::z;1808,k;1910

11350sv::k;354,d;450
7405:X:d;532,v;629
7405:25:dm;529,v;629
100362pk:=:n;724,d;759
7417:X:dm;1230,v;1331
7418:X:v;1532,dm;1636
100363:25:d;2001,n;2037
7432:25:v;2306,d;2359


1:67:1
4:6,7:2
