13031: vX :
3601: 6 :
13030: X :
13003: X :
13002: X :
3602: 7 :
13050: X :
13051: X :
3604: 6 :
13011: X :
13012: X :
13013: X :
13014: X :
13041: X :
3613:
3616: X :
1634: 25 :
3619: X6 :

3600: X :
113001pk: X : Šumperk; 05:16, Bludov; 05:22
3603: X :
3602: 6 :
3604: X7 :
13015: 25 :
3661: X :
3662: X :
13016: 25 :
3615: X : Šumperk; 18:27, Jeseník; 20:03
3615: 25 : Šumperk; 18:27, Hanušovice; 19:10
3616: 7 :
13634: X :
3619: 7 :

13601:
13600: 25 :
13604: X :
13605: 25 :
13607: X :
13608: 25 :
13609: 25 :
13610: 25 :
13613: 25 :
13614: 25 :
13615: 25 :
13616: 25 :
13617: 25 :
13620: 25 :
3612: X :
13621: 6 :
13623: 7 :
13626: 25 :
13627: 25 :
13023: X :
13022: X :
13634: 25 :
13042: X :
